,Cement..component.1..kg.in.a.m.3.mixture.,Blast.Furnace.Slag..component.2..kg.in.a.m.3.mixture.,Fly.Ash..component.3..kg.in.a.m.3.mixture.,Water...component.4..kg.in.a.m.3.mixture.,Superplasticizer..component.5..kg.in.a.m.3.mixture.,Coarse.Aggregate...component.6..kg.in.a.m.3.mixture.,Fine.Aggregate..component.7..kg.in.a.m.3.mixture.,Age..day.
0,18.889465429908967,-0.7869337669984701,2.1893504402298443,7.077191307878165,1.5644337808409974,2.062748395143049,2.967590356215689,4.762602115033911
1,17.4713852759111,-1.1694405407069235,1.7586445898654355,5.910676194604671,0.8032663627642891,-0.41016127498184546,2.5972185683111486,3.978258882484183
2,1.536204007936769,0.6782752476884499,0.516551684504155,-4.434171358321434,-2.817540222777215,0.07451317246695034,-0.005227179734881772,8.950342706489716
3,1.5112940679235674,0.7425025558803511,0.5222972682347792,-4.336245628908161,-2.7576033024519577,0.11273235271788391,0.050296875311673574,9.485673869544287
4,-3.41657119472691,2.085416184424934,0.5746742791844421,-2.317613511535223,-2.5190857040231496,0.41892571478924256,-1.0806750220892953,13.451077312228369
5,0.2431366621944226,1.9558918938741612,0.49987566787060944,-3.2778805112389295,-2.474995810779604,0.5237489762049738,4.821439408920287,9.292231771206529
6,4.78787189857736,0.08989174527936915,0.4026675404245927,-4.954919011223803,-2.489157818050915,0.20781232635369928,-0.24215903685082896,9.220240413742943
7,6.104944976173623,0.11151787366190853,0.3876798322140834,-5.162495625738952,-2.2984138258042996,0.2797141029561151,0.046784233926702105,1.7493164908631669
8,1.5805991640318127,2.7135577309471257,0.6138939548536351,-2.6746623536892526,-1.1322664596503633,0.9842049021432807,3.88695345237576,2.96206766724043
9,9.633570070818127,-1.8688466680831617,0.4227419902238604,-5.571772740257608,-1.8612226925296174,0.11864866136038511,1.2253258644600429,1.6594035722605807
10,-3.679911950451388,1.9072371357472917,0.4692147144484421,-2.68563170850791,-2.8596440385139488,0.31269562868957645,-1.1845615783890244,11.313649855229363
11,-4.875448191327794,2.088674018211661,0.4706735693990577,-2.951527813906254,-2.0617544628545557,0.05748680158869579,-1.6993139824181425,2.06065811955964
12,6.263795701673004,-0.31764089811244006,0.3936867775682264,-5.076167951674632,-2.4234625915046215,0.037516571025713014,-0.2351425111314232,8.513162960408442
13,-4.2784788796094215,2.826336331595481,0.5491980297204427,-3.129330524102051,-2.447839736315665,0.20706836151526764,4.158304052530725,9.92919042291765
14,3.292232837656881,1.8143970674406122,0.5723659857663406,-2.876940842072794,-0.9812750180399199,1.1791509076514322,4.077663209865474,2.616053909984427
15,7.487599272604643,-1.4285157939882505,0.44429682837259643,-4.033484282354351,-1.6948170764128323,0.9194508398466767,4.988907913606412,10.073910356577462
16,-6.945842051608605,3.8485494394503035,0.6389561686719357,-2.5436782588722493,-2.552015391371529,0.013132322197360416,-0.40582139102771003,11.934967220812887
