,crim,zn,indus,chas,nox,rm,age,rad,tax,ptratio,b
0,-0.8683121670045284,0.07665746232410217,-2.5521811113579247,-0.0016039014798021228,-0.09823417202556409,-1.5908324242537808,-0.3596604708840317,-0.3329856278380643,-0.34537809164278105,-0.2097626911946785,-0.5356000852753562
1,-0.5748215303252941,0.08830074512660208,-1.7578369284333915,-0.008398777763649005,-0.6218849301964214,-0.9220659526444722,0.3878276072027006,-0.053355090926341504,-0.24947253232471606,0.014729891178245903,-0.3400157815256746
2,-0.7515985066961444,0.0036723176228028493,-1.9859018326710889,-0.02833021332549531,-0.7962205273079083,-2.983588571025667,-0.5695429743277516,-0.09552782253607324,-0.5701851177874069,-0.11436391518083722,-0.12570611739683946
3,-0.8056641823962947,-0.08866132981068649,-2.369444052042222,-0.007382405515825158,-0.8435040364717219,-2.8313178956107827,-1.208354540791559,-0.1541811824408086,-0.4466357791703162,-0.07365666101789958,-0.15159121536429374
4,-0.4277076895796145,-0.13105446335799578,-2.269895602015576,-0.008954627738047375,-0.7627685254446491,-2.7341134235185955,-0.5457000567595601,-0.1403604754264169,-0.38386823339746146,0.0016921163721939918,-0.025062299766688542
5,-0.6206349312650552,0.03676059793926234,-2.6283916129824556,-0.009431753954125193,-0.7846120783836443,-1.1233051965101783,-0.39629619433852903,-0.25685124298545053,-0.5927787928574136,0.008272501536263181,-0.06782457683108548
6,-0.8362761910615489,0.11593498864685277,1.9062247418471965,-0.02021340711588971,-0.17426324580230954,1.103046406464961,-1.920436013936579,0.0398479565459399,0.035449657737116766,0.2837747443297699,-0.725682918287922
7,-1.102370971638776,0.6226946996125666,2.2690523166748147,0.023309870028536364,0.09784867878210493,0.27008628281834485,3.7125941024675666,-0.01600790906753962,0.13621296081259002,0.4669739227233754,0.24361276615400307
8,-0.35971613609403674,1.1708947588765368,2.0710643076586357,0.08221757131757133,0.33021244013719536,4.414235788393338,4.656893182842962,0.05900496405057666,-0.019801499382458555,0.9176181545255315,0.36688318704174167
9,-1.0097073927212583,0.5067810513932747,1.6623330478663612,-0.008984249084249071,-0.025052379130265257,1.6811676214955364,1.0390611355731465,-0.015061831341675793,0.035160372773380966,0.22570807788091007,0.04190126466242933
