,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b
0,0.020718719389459288,-1.9400488948492103,0.005136298061163369,-0.43331159091635746,-2.1476878514086364,-0.8429204279273034,-0.43289214629238415,-0.1994827273151229,-0.3209513203636782,-0.08745287187483408,-0.5574004671355149
1,0.034765330249467305,-1.2903605893266583,0.00592347101191304,-0.3206735434743952,-1.3705342986238576,-0.30644877178060304,-0.4071960274024187,-0.0003584435406562577,-0.23585907788416124,0.08798279965567607,-0.326234129516725
2,-0.05868107521602186,-1.4050222049839074,0.0002289015820759912,-0.5096900566515261,-4.148577725770621,-0.6285695389026721,-0.5288879069172584,-0.07433535035069877,-0.3554095048740964,-0.00893724843171036,-0.2630115701159672
3,-0.06112277271565434,-1.8684782149050563,0.0044108162154025965,-0.5033882750934274,-3.8848211139951934,-1.1478113274721278,-0.4181808037826447,-0.1984335678634614,-0.422804924316707,-0.024020126257161878,-0.3296429704463831
4,-0.028810055293713617,-1.6592969693534017,0.0036912092233712303,-0.44291134346376954,-3.7000981615274777,-0.5823200362383267,-0.39273719803756196,-0.10669297146348414,-0.31237472161873336,0.04780622713964806,-0.29294925999896315
5,-0.009869975674853499,-2.2940148738622117,0.006787270736311173,-0.4073260163506384,-1.6128701825737737,-0.9360356106071324,-0.33556305948307213,-0.19779126312936796,-0.4239650324067568,-0.008061409031412201,-0.35688312824949486
6,0.06592033185348083,1.0731459341163867,-0.00308490344290486,-0.3555373499326237,1.0070368899988023,-1.1869038731115595,-0.24064697322293807,-0.02776468841172848,-0.02062009439853572,0.11285200961068781,-0.4745905636914749
7,0.07453582851145103,1.564762461443769,0.019255080151209476,0.018676075407933458,0.3140201289951762,3.8768900005547398,0.23442118450363356,-0.07474402892236932,0.0074811322005282925,0.37374903297012835,-0.15704017644857432
8,0.2108717643887042,1.6464444810818633,0.033526085613229784,0.26951342317984095,5.373156415222653,4.315975690861175,0.7395633046425463,-0.05388610563187094,0.11928818379811551,0.5228282624875482,0.3012252137238142
9,0.07380735388360553,1.0928438136723486,0.015292444819050283,-0.11177754527990394,1.4184136405929242,1.2375934215466606,0.21617641159672887,-0.07439994849806648,-0.010214317289647765,0.11977623172615774,-0.0920047874022716
10,0.09268946316644362,1.9348287255551624,0.026266198774517985,0.08493595181457715,-1.1856492591993755,3.6388649224911425,0.4140732421439553,-0.1047320915647507,-0.043780926183616696,0.42835056723738923,-0.14474007486784315
